88 | Ra | Radium | 226.0 | ALKALINE_EARTH_METALS | SOLID | 973.0 | 2010.0 | 0.9 | 5000.0
89 | Ac | Actinium | 227.0 | ACTINOIDS | SOLID | 1323.0 | 3473.0 | 1.1 | 10070.0
90 | Th | Thorium | 232.0377 | ACTINOIDS | SOLID | 2023.0 | 5093.0 | 1.3 | 11724.0
91 | Pa | Protactinium | 231.0358 | ACTINOIDS | SOLID | 1845.0 | 4273.0 | 1.5 | 15370.0
92 | U | Uranium | 238.0289 | ACTINOIDS | SOLID | 1408.0 | 4200.0 | 1.38 | 19050.0
93 | Np | Neptunium | 237.0 | ACTINOIDS | SOLID | 917.0 | 4273.0 | 1.36 | 20450.0
94 | Pu | Plutonium | 244.0 | ACTINOIDS | SOLID | 913.0 | 3503.0 | 1.28 | 19816.0
95 | Am | Americium | 243.0 | ACTINOIDS | SOLID | 1449.0 | 2284.0 | 1.3 | 0.0
96 | Cm | Curium | 247.0 | ACTINOIDS | SOLID | 1618.0 | 3383.0 | 1.3 | 13510.0
97 | Bk | Berkelium | 247.0 | ACTINOIDS | SOLID | 1323.0 | 0.0 | 1.3 | 14780.0
98 | Cf | Californium | 251.0 | ACTINOIDS | SOLID | 1173.0 | 0.0 | 1.3 | 15100.0
99 | Es | Einsteinium | 252.0 | ACTINOIDS | SOLID | 1133.0 | 0.0 | 1.3 | 0.0
100 | Fm | Fermium | 257.0 | ACTINOIDS | SOLID | 1800.0 | 0.0 | 1.3 | 0.0
101 | Md | Mendelevium | 258.0 | ACTINOIDS | SOLID | 1100.0 | 0.0 | 1.3 | 0.0
102 | No | Nobelium | 259.0 | ACTINOIDS | SOLID | 1100.0 | 0.0 | 1.3 | 0.0
103 | Lr | Lawrencium | 262.0 | ACTINOIDS | SOLID | 1900.0 | 0.0 | 0.0 | 0.0
104 | Rf | Ruftherfordium | 267.0 | TRANSITION_METALS | SOLID | 0.0 | 0.0 | 0.0 | 0.0
105 | Db | Dubnium | 268.0 | TRANSITION_METALS | SOLID | 0.0 | 0.0 | 0.0 | 0.0
106 | Sg | Seaborgium | 271.0 | TRANSITION_METALS | SOLID | 0.0 | 0.0 | 0.0 | 0.0
107 | Bh | Bohrium | 272.0 | TRANSITION_METALS | SOLID | 0.0 | 0.0 | 0.0 | 0.0
108 | Hs | Hassium | 270.0 | TRANSITION_METALS | SOLID | 0.0 | 0.0 | 0.0 | 0.0
109 | Mt | Meitnerium | 276.0 | TRANSITION_METALS | SOLID | 0.0 | 0.0 | 0.0 | 0.0
110 | Ds | Darmstadtium | 281.0 | TRANSITION_METALS | SOLID | 0.0 | 0.0 | 0.0 | 0.0
111 | Rg | Roentgenium | 280.0 | TRANSITION_METALS | SOLID | 0.0 | 0.0 | 0.0 | 0.0
112 | Cn | Copernicium | 285.0 | TRANSITION_METALS | SOLID | 0.0 | 0.0 | 0.0 | 0.0
113 | Uut | Ununtrium | 284.0 | POST_TRANSITION_METALS | SOLID | 0.0 | 0.0 | 0.0 | 0.0
114 | Fl | Flerovium | 289.0 | POST_TRANSITION_METALS | SOLID | 0.0 | 0.0 | 0.0 | 0.0
115 | Uup | Ununpentium | 288.0 | POST_TRANSITION_METALS | GAS | 0.0 | 0.0 | 0.0 | 0.0
116 | Lv | Livermorium | 293.0 | POST_TRANSITION_METALS | SOLID | 0.0 | 0.0 | 0.0 | 0.0
117 | Uus | Ununseptium | 294.0 | HALOGENS | SOLID | 0.0 | 0.0 | 0.0 | 0.0
118 | Uuo | Ununoctium | 294.0 | NOBLE_GASES | SOLID | 0.0 | 0.0 | 0.0 | 0.0
